time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,60,24,140,38
2025-07-08 00:00:00+00:00,44,17,139,32
2025-07-09 00:00:00+00:00,41,15,54,30
2025-07-10 00:00:00+00:00,48,12,65,26
2025-07-11 00:00:00+00:00,116,40,43,27
2025-07-12 00:00:00+00:00,44,19,24,17
2025-07-13 00:00:00+00:00,32,13,47,29
2025-07-14 00:00:00+00:00,155,56,89,32
2025-07-15 00:00:00+00:00,79,39,53,32
2025-07-16 00:00:00+00:00,41,22,51,32
2025-07-17 00:00:00+00:00,27,9,115,57
2025-07-18 00:00:00+00:00,56,22,115,36
2025-07-19 00:00:00+00:00,39,17,38,28
2025-07-20 00:00:00+00:00,14,7,44,19
